City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
275,Nyazepetrovsk,RU,56.0531,59.6028,39.42,89,85,8.48,overcast clouds
276,Znamenskoye,RU,57.1281,73.8282,39.4,90,100,8.23,overcast clouds
277,Salinas,US,36.6777,-121.6555,67.82,70,0,8.05,clear sky
278,Belaya Gora,RU,68.5333,146.4167,12.69,95,99,5.12,overcast clouds
279,Laguna,US,38.421,-121.4238,72.97,68,0,4.61,clear sky
280,Latung,PH,5.5,120.8833,82.53,73,100,0.65,overcast clouds
281,Malmyzh,RU,56.5205,50.6818,43.25,72,84,16.28,broken clouds
282,Swedru,GH,5.5371,-0.6998,76.46,84,44,5.77,scattered clouds
283,Taoudenni,ML,22.6783,-3.9836,96.48,10,3,10.31,clear sky
284,Requena,ES,39.4883,-1.1004,64.53,77,14,6.38,few clouds
285,Dryden,CA,49.7833,-92.7503,25.09,68,100,12.66,overcast clouds
286,Sur,OM,22.5667,59.5289,80.11,43,100,8.32,overcast clouds
287,Guerrero Negro,MX,27.9769,-114.0611,75.6,56,0,5.17,clear sky
288,Taltal,CL,-25.4,-70.4833,65.32,54,6,7.94,clear sky
289,Esperance,AU,-33.8667,121.9,55.69,79,3,14.18,clear sky
290,Edson,CA,53.5835,-116.4356,63.28,30,17,4.43,few clouds
291,Praia Da Vitoria,PT,38.7333,-27.0667,60.76,76,80,31.83,moderate rain
292,Mahebourg,MU,-20.4081,57.7,67.24,72,11,10.47,few clouds
293,Alofi,NU,-19.0595,-169.9187,71.49,100,20,2.3,few clouds
294,Komsomolskiy,UZ,40.4272,71.7189,63.32,45,40,4.61,scattered clouds
295,Benguela,AO,-12.5763,13.4055,75.49,81,68,7.63,broken clouds
296,Puerto El Triunfo,SV,13.2833,-88.55,82.85,77,98,6.33,overcast clouds
297,Sarakhs,IR,36.5449,61.1577,69.96,28,49,8.5,scattered clouds
298,Muros,ES,42.7762,-9.0603,64.83,90,15,8.41,few clouds
299,Vigeland,NO,58.0844,7.305,50.95,87,100,5.95,overcast clouds
300,Fomboni,KM,-12.28,43.7425,77.34,73,0,5.7,clear sky
301,Cordoba,AR,-31.4135,-64.1811,69.76,49,75,9.22,broken clouds
302,Ixtapa,MX,20.7,-105.2,87.22,74,20,8.05,few clouds
303,Zhezkazgan,KZ,47.8043,67.7144,42.4,52,24,7.0,few clouds
304,Yambio,SS,4.5721,28.3955,69.15,95,100,2.13,overcast clouds
305,Thabazimbi,ZA,-24.5917,27.4116,75.42,43,82,2.8,light rain
306,Mweka,CD,-4.85,21.5667,73.49,80,88,0.18,light rain
307,Berdigestyakh,RU,62.0989,126.6992,17.78,94,87,7.81,overcast clouds
308,Kismayo,SO,-0.3582,42.5454,77.81,84,26,12.33,scattered clouds
309,Praia,CV,14.9215,-23.5087,84.74,48,0,18.41,clear sky
310,Tashtyp,RU,52.7939,89.8983,43.54,81,97,13.06,overcast clouds
311,Shaoxing,CN,30.011,120.5715,57.15,60,0,7.7,clear sky
312,Paracatu,BR,-17.2222,-46.8747,93.69,18,3,6.71,clear sky
313,Bayan,CN,46.0833,127.4,32.09,64,29,6.42,scattered clouds
314,Longyearbyen,SJ,78.2186,15.6401,24.64,80,40,3.44,scattered clouds
315,Nome,US,64.5011,-165.4064,35.67,93,100,3.44,light rain
316,Sisimiut,GL,66.9395,-53.6735,40.24,83,100,17.76,light rain
317,Yelizovo,RU,53.1873,158.3805,46.11,100,100,15.99,overcast clouds
318,Villa Maria,AR,-32.4075,-63.2402,69.82,50,99,14.18,overcast clouds
319,Lavrentiya,RU,65.5833,-171.0,30.15,83,99,7.92,overcast clouds
320,Dong Hoi,VN,17.4833,106.6,73.96,75,87,6.78,overcast clouds
321,Skibbereen,IE,51.55,-9.2667,53.1,85,40,7.81,scattered clouds
322,Puerto Ayacucho,VE,5.6639,-67.6236,88.45,58,68,3.42,broken clouds
323,Cardston,CA,49.2,-113.3019,68.23,21,6,4.0,clear sky
324,Tonekabon,IR,36.8163,50.8738,68.72,94,100,4.52,light rain
325,Shiraz,IR,29.6036,52.5388,72.84,18,0,4.61,clear sky
326,Hilo,US,19.7297,-155.09,85.28,67,20,5.75,few clouds
327,Khatanga,RU,71.9667,102.5,22.33,97,100,6.49,light snow
328,Bathsheba,BB,13.2167,-59.5167,88.41,70,40,10.36,scattered clouds
329,Bati,ET,11.1833,40.0167,67.8,51,51,1.66,broken clouds
330,Kargil,IN,34.5667,76.1,34.36,85,100,3.89,snow
331,Cherskiy,RU,68.75,161.3,-8.73,99,69,4.81,broken clouds
332,Oistins,BB,13.0667,-59.5333,87.89,70,40,10.36,scattered clouds
333,Dutlwe,BW,-23.9833,23.9,69.01,60,100,12.01,overcast clouds
334,Nezhinka,RU,51.7676,55.3694,33.96,93,0,0.0,clear sky
335,Xiongyue,CN,40.1774,122.1228,46.06,37,0,6.02,clear sky
336,Magadan,RU,59.5667,150.8,25.16,73,100,12.86,overcast clouds
337,Umm Lajj,SA,25.0213,37.2685,83.17,64,85,8.16,overcast clouds
338,Neftekumsk,RU,44.6667,44.9167,51.06,91,100,4.32,overcast clouds
339,Ushtobe,KZ,45.2514,77.9838,54.77,80,100,5.91,overcast clouds
340,Usinsk,RU,65.9939,57.5281,41.72,92,100,19.75,light rain
341,Alugan,PH,12.2188,125.4808,77.94,88,100,4.07,moderate rain
342,Te Anau,NZ,-45.4167,167.7167,41.52,94,94,3.33,overcast clouds
343,San Quintin,MX,30.4833,-115.95,71.69,70,8,6.93,clear sky
344,Gamba,GA,-2.65,10.0,78.49,85,98,6.53,overcast clouds
345,Kattivakkam,IN,13.2167,80.3167,86.09,77,98,4.41,overcast clouds
346,Andenes,NO,69.3143,16.1194,39.18,81,75,17.27,broken clouds
