City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
267,Camocim,-2.9022,-40.8411,93.31,43,60,13.02,BR,2022-10-12 15:52:51
268,Guerrero Negro,27.9769,-114.0611,70.63,74,98,12.01,MX,2022-10-12 15:52:51
269,Buin,-33.7333,-70.75,75.87,38,1,2.35,CL,2022-10-12 15:52:52
270,Ilulissat,69.2167,-51.1,26.49,77,71,2.53,GL,2022-10-12 15:52:52
271,Killarney,52.05,-9.5167,55.45,82,20,6.91,IE,2022-10-12 15:52:52
272,Napanee,44.2501,-76.9494,64.9,54,100,11.52,CA,2022-10-12 15:52:53
273,Huilong,31.8111,121.655,62.92,70,24,8.68,CN,2022-10-12 15:52:53
274,Lethem,3.3803,-59.7968,91.45,58,20,13.8,GY,2022-10-12 15:53:54
275,Airai,-8.9266,125.4092,60.91,91,97,1.68,TL,2022-10-12 15:53:54
276,Piracuruca,-3.9281,-41.7092,104.34,17,59,7.34,BR,2022-10-12 15:51:42
277,Laguna,38.421,-121.4238,73.09,85,0,3.44,US,2022-10-12 15:53:54
278,Xining,36.6167,101.7667,41.56,54,100,4.61,CN,2022-10-12 15:53:55
279,Linjiang,41.8069,126.9078,44.83,82,74,1.72,CN,2022-10-12 15:53:55
280,Sitka,57.0531,-135.33,51.76,91,100,7.14,US,2022-10-12 15:53:56
281,Isangel,-19.55,169.2667,69.91,88,100,2.3,VU,2022-10-12 15:53:56
282,Ola,59.5833,151.2833,28.15,68,100,5.26,RU,2022-10-12 15:53:57
283,Saint George,37.1041,-113.5841,59.59,41,0,3.44,US,2022-10-12 15:53:57
284,Bom Jesus,-9.0744,-44.3586,100.15,16,5,8.59,BR,2022-10-12 15:53:57
285,Sukhumi,43.0033,41.0153,58.51,69,98,4.65,GE,2022-10-12 15:50:02
286,Bogorodskoye,56.55,37.8833,40.33,92,57,3.04,RU,2022-10-12 15:53:58
287,Portobelo,9.55,-79.65,85.05,79,93,6.51,PA,2022-10-12 15:53:58
288,Tam Ky,15.5667,108.4833,73.71,90,99,5.61,VN,2022-10-12 15:53:59
289,Port Hedland,-20.3167,118.5667,78.85,14,40,12.66,AU,2022-10-12 15:53:59
290,Arman,59.7,150.1667,28.02,66,100,5.03,RU,2022-10-12 15:53:59
291,Quimperle,47.8667,-3.55,61.02,70,20,11.5,FR,2022-10-12 15:54:00
292,Vostok,46.4856,135.8833,32.02,86,68,4.5,RU,2022-10-12 15:54:00
